TF	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10
Batf	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Batf3	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.6676781149337194	-4.013275059848594	-7.457732789813321	-40391.08785111857	-4.964069223142754	-2.9026579134742634	-3.025608713983921
Bbx	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-6.7362258636405175	-4.5841654882077	-4.964069223142754	-1.7096016986140614	-57511.31147960366
Bcl2	-3.7666120623555135	-5.2584669378555144	-5.364681963439133	-38362.016172087155	-4.013275059848594	-7.457732789813321	-4.5841654882077	-3.327824902514595	-2.9026579134742634	-4.162826728528812
Bdp1	-3.7666120623555135	-5.258466937861692	-4.056170711488701	-3.668091859470831	-4.013275059848594	-4.064734958210205	-4.5841654882077	-75568.90807569148	-2.9026579134742634	-57511.31147960366
Bhlha15	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-3.436464123398123	-7.457732789813321	-4.5841654882077	-75568.90807569148	-2.9026579134742634	-1.0145615299564312
Bptf	-3.7666120623555135	-5.258466937861692	-4.378273521699244	-3.668091859470831	-35908.29622476326	-7.457732789813321	-4.5841654882077	-4.964069223142754	-22764.023418888097	-4.162826728528812
Ccnt2	-3.7666120623555135	-5.258466937861692	-73973.22298941846	-3.4679511120543522	-4.013275059848594	-103740.74381621314	-4.5841654882077	-4.964069223142754	-22764.023418888097	-57511.31147960366
Cebpa	-3.7666120623555135	-5.258466937861692	-4.941294145719944	-3.668091859470831	-35908.29622476326	-7.457732789813321	-4.5841654882077	-75568.90807569148	-22764.023418888097	-3.6761496934184015
Cebpb	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-35908.29622476326	-6.599359864563847	-4.5841654882077	-3.8468569723332187	-22764.023418888097	-4.162826728528812
Cebpd	-3.7666120623555135	-5.258466937861692	-0.9798632300349035	-3.668091859470831	-35908.29622476326	-0.18529415226614457	-4.5841654882077	-75568.90807569148	-2.0587061708505145	-3.737179173754761
Cebpe	-3.7666120623555135	-4.391555851086501	-5.364681963439133	-1.8354334619183266	-35908.29622476326	0.020563494631794653	-3.708998978360881	0.971276231940671	-22764.023418888097	-4.162826728528812
Cebpg	-40246.99510903507	-5.258466937861692	-5.154856352616975	-2.6315033603242597	-35908.29622476326	0.011532431310855198	-4.5841654882077	-75568.90807569148	-22764.023418888097	-57511.31147960366
Clock	-40246.99510903507	0.28686462992310696	1.1907577020731708	-38362.016172087155	-0.4414267528553543	-1.6502498901712428	-0.9475335806658068	-75568.90807569148	-2.730849934753241	-57511.31147960366
Creb3	-40246.99510903507	-5.258466937861692	-2.4037284368175755	-3.668091859470831	0.09153527724277626	-7.457732789813321	-4.5841654882077	-4.964069223142754	-22764.023418888097	-0.9132050675012777
Creb3l1	-3.7666120623555135	-49070.5836083942	-5.364681963439133	-38362.016172087155	-4.013275059848594	-7.457732789813321	-40391.08785111857	-4.533979166749117	-2.9026579134742634	-3.4604125329341566
Creb3l2	-3.7279840786801612	-49070.5836083942	-5.364681963439133	-38362.016172087155	-35908.29622476326	-7.457732789813321	-40391.08785111857	-4.680427618472556	-2.9026579134742634	-3.391389769168365
Creb3l3	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Creb3l4	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Creb5	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-103740.74381621314	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Cux1	-40246.99510903507	1.0905935913861642	-1.962213885580038	-2.4069532455419695	-0.41281572835545544	-4.623361549391166	-3.047707446244101	-75568.90807569148	0.5419105857715607	-57511.31147960366
Cux2	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-57511.31147960366
Dbp	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-103740.74381621314	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Dlx3	-3.3221599136714963	-49070.5836083942	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-22764.023418888097	-4.162826728528812
